Kepler_ID,period,transit_depth,transit_duration,flux_std,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
757450,20.17009325089528,0.0030710354039902,10.0,0.0053680763065602,757450,K00889.01,Kepler-75 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,8.884922995,169.991686,0.069,2.07004,16053.4,10.51,770.0,83.21,388.2,1,q1_q17_dr25_tce,5332.0,4.5,0.843,291.1376,36.577381,15.264,1
892772,26.1038686730282,0.0001462788750296,10.0,0.0007464451393029,892772,K01009.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,5.09246539,357.53594,0.161,3.659,254.0,1.17,844.0,119.7,17.1,1,q1_q17_dr25_tce,5037.0,4.547,0.751,291.15338,36.678841,15.162,0
1025986,20.162128550740608,0.0029775659050938,5.25,0.0063609213763557,1025986,K07621.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,275.07365,315.2486,0.595,3.37,228.9,1.86,303.0,2.0,7.5,1,q1_q17_dr25_tce,5604.0,4.226,1.187,291.03369,36.771042,10.15,0
1026032,25.377622917575096,0.0270669253931125,0.5,0.0081391586705875,1026032,K06252.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,8.460438928,133.7744903,1.061,4.73492,76412.9,36.62,804.0,98.6,1797.4,1,q1_q17_dr25_tce,5951.0,4.638,0.702,291.04407,36.729271,14.813,0
1026957,21.039947033978613,0.0077627846176234,10.0,0.0080736692391909,1026957,K00958.01,Kepler-1731 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.76129812,166.540438,0.123,1.243,1300.7,2.53,486.0,13.18,60.0,1,q1_q17_dr25_tce,4859.0,4.612,0.72,291.25449,36.74361,12.559,1
1161345,710.8826619769761,0.0966122709385624,2.9000000000000004,0.0097969506260996,1161345,K00984.01,Kepler-1973 b,CONFIRMED,CANDIDATE,0.711,0,0,0,0,4.28746668,262.06245,0.374,1.5693,790.1,2.29,942.0,186.31,19.4,1,q1_q17_dr25_tce,5296.0,4.576,0.815,291.0488,36.839882,11.631,1
1293031,436.2073334487895,0.0024885986022464,0.5,0.0003447608706583,1293031,K04162.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.53936593,131.97457,0.988,5.434,145.0,9.19,5016.0,149399.93,57.6,1,q1_q17_dr25_tce,6341.0,3.301,5.302,291.02097,36.903648,12.915,0
1293046,42.83082318929798,0.0002162004758193,10.0,0.0007328271046885,1293046,K07622.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,36.2671673,155.0813,0.214,2.065,627.1,1.5,347.0,3.44,10.0,1,q1_q17_dr25_tce,4264.0,4.637,0.62,291.02655,36.91637,15.544,0
1431122,385.0256790634467,0.0008259550338258,7.65,0.0005755621192049,1431122,K00994.01,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,4.2989201,132.86187,0.972,2.747,237.6,2.12,1046.0,283.62,20.0,1,q1_q17_dr25_tce,5300.0,4.385,0.986,291.14249,37.061321,14.613,1
1432214,323.6589744220399,0.0689040178591018,0.5,0.0028248170560237,1432214,K00998.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,161.78832712,214.039,0.267,5.31,87750.0,36.14,375.0,4.68,704.5,1,q1_q17_dr25_tce,6018.0,4.327,1.212,291.38269,37.07299,15.661,0
